tconst	averageRating	numVotes
tt0069634	7.6	4418
tt0069636	6.6	912
tt0069637	7.2	8916
tt0069638	6.2	634
tt0069641	7.2	4972
tt0069647	7.1	918
tt0069654	8.2	779
tt0069655	7.8	1389
tt0069658	5.3	7219
tt0069733	8.8	948
tt0070644	8.5	17599
tt0070904	7.7	7155
tt0070968	7.5	6446
tt0070970	7.7	1201
tt0070975	6.8	1371
tt0070981	6.7	1977
tt0070991	7.4	9024
tt0070992	7.4	22436
tt0070993	7.6	1073
tt0070996	6.9	4270
tt0071003	8.4	6808
tt0071005	7.1	3681
tt0071007	7.5	29261
tt0071012	7.3	640
tt0071028	8.6	1900
tt0071032	7.2	1176
tt0071033	7.0	5993
tt0071034	6.6	2625
tt0071036	8.3	7293
tt0071039	7.7	909
tt0071040	6.8	3161
tt0071041	7.7	3055
tt0071042	8.2	12133
tt0071050	6.5	1789
tt0071054	7.1	14175
tt0071059	8.1	2882
tt0071063	7.1	537
tt0071065	7.0	623
tt0071075	9.2	33946
tt0072471	6.7	3074
tt0072472	8.3	8073
tt0072496	8.3	1736
tt0072500	8.8	106631
tt0072505	7.0	504
tt0072506	4.4	2190
tt0072509	9.1	872
tt0072515	6.6	1163
tt0072516	6.6	1324
tt0072519	7.5	11540
tt0072541	7.9	595
tt0072547	6.1	612
tt0072554	6.6	5598
tt0072556	6.4	544
tt0072559	7.2	611
tt0072560	6.7	2286
tt0072562	8.0	56242
tt0072564	7.3	10141
tt0072567	7.0	11460
tt0072572	8.0	1555
tt0072574	7.1	520
tt0072582	7.1	8084
tt0072584	6.7	3946
tt0072585	7.3	532
tt0072925	8.2	590
tt0073955	6.9	6052
tt0073961	7.7	3733
tt0073965	6.7	8861
tt0073969	7.0	521
tt0073971	7.9	560
tt0073972	6.6	15488
tt0073985	6.2	514
tt0073990	8.0	2352
tt0073991	7.1	2572
tt0073992	7.7	2245
tt0073995	7.2	1877
tt0074002	7.3	1093
tt0074004	8.5	903
tt0074006	8.8	21314
tt0074007	8.4	1207
tt0074016	7.0	9461
tt0074021	7.9	1605
tt0074024	7.3	584
tt0074028	8.4	27268
tt0074031	7.2	2790
tt0074034	7.9	541
tt0074035	7.6	1217
tt0074036	7.6	6314
tt0074039	8.5	1564
tt0074042	7.3	7956
tt0074043	7.6	549
tt0074045	6.9	736
tt0074047	7.6	904
tt0074048	8.2	3693
tt0074050	7.4	1742
tt0074053	7.6	3878
tt0074058	6.9	533
tt0074062	7.3	5855
tt0074071	7.1	4552
tt0074072	8.4	540
tt0074074	7.0	10998
tt0074369	8.7	1708
tt0074621	7.4	4011
tt0075281	6.9	564
tt0075296	7.9	7788
tt0075468	8.2	5547
tt0075472	8.4	4816
tt0075474	6.4	852
tt0075485	3.7	565
tt0075488	6.5	12615
tt0075491	7.5	977
tt0075492	7.0	1113
tt0075500	6.6	4170
tt0075503	6.9	870
tt0075505	8.6	878
tt0075506	6.4	519
tt0075511	8.0	4423
tt0075512	7.1	1801
tt0075513	7.3	2217
tt0075519	8.0	580
tt0075520	8.5	26641
tt0075525	7.5	1978
tt0075527	7.1	3245
tt0075528	7.3	2619
tt0075529	6.3	14889
tt0075533	6.5	2952
tt0075537	8.7	10403
tt0075543	6.7	1408
tt0075557	8.2	567
tt0075560	8.3	1268
tt0075561	8.0	3913
tt0075567	7.6	501
tt0075568	7.8	1820
tt0075569	6.4	870
tt0075572	8.4	19763
tt0075578	8.5	3093
tt0075579	8.5	1756
tt0075583	8.5	710
tt0075584	8.3	9071
tt0075592	7.6	2805
tt0075596	7.5	18603
tt0076974	8.1	1014
tt0076975	6.1	2931
tt0076981	8.2	516
tt0076983	7.6	2407
tt0076984	7.2	18660
tt0076987	8.0	4850
tt0076993	8.3	3976
tt0076998	7.8	4033
tt0077000	7.1	17752
tt0077003	6.7	13214
tt0077004	8.3	1649
tt0077008	6.6	9624
tt0077010	8.3	504
tt0077013	8.8	5552
tt0077016	7.0	1415
tt0077025	8.0	5858
tt0077027	8.2	2812
tt0077031	7.0	17419
tt0077042	8.0	757
tt0077051	9.2	6166
tt0077053	7.2	13668
tt0077057	6.8	1063
tt0077058	8.1	1204
tt0077060	8.3	1268
tt0077064	8.2	2421
tt0077065	7.1	504
tt0077066	6.9	869
tt0077069	6.6	633
tt0077078	8.6	1097
tt0077089	7.7	17071
tt0077093	6.9	2432
tt0077094	7.9	1353
tt0077097	8.0	12238
tt0077101	8.0	1662
tt0077399	7.1	1476
tt0077796	8.2	622
tt0078037	8.1	776
tt0078129	6.9	926
tt0078560	7.7	2345
tt0078561	7.0	545
tt0078562	6.4	1662
tt0078564	6.4	2227
tt0078565	8.3	505
tt0078569	7.2	4520
tt0078570	8.3	2676
tt0078576	7.0	501
tt0078579	6.9	11084
tt0078588	9.3	1573
tt0078593	8.4	1151
tt0078600	7.3	700
tt0078607	7.1	17198
tt0078610	6.9	9224
tt0078611	7.4	663
tt0078616	7.1	562
tt0078622	6.7	9545
tt0078627	8.1	617
tt0078633	7.6	855
tt0078635	5.7	618
tt0078638	7.0	3779
tt0078644	7.7	1463
tt0078655	8.7	5370
tt0078657	7.8	3056
tt0078658	6.5	647
tt0078659	8.4	2322
tt0078662	6.9	1162
tt0078672	7.4	2596
tt0078673	7.5	2414
tt0078678	7.8	2952
tt0078679	5.9	1263
tt0078680	8.4	1906
tt0078682	7.8	2092
tt0078690	7.5	514
tt0078692	8.4	1705
tt0078701	8.0	1197
tt0078703	7.4	2946
tt0078704	6.6	2374
tt0078705	7.5	509
tt0078713	7.3	1209
tt0078714	8.1	2796
tt0079750	7.8	599
tt0079840	7.6	2430
tt0079844	6.8	31091
tt0079902	8.5	4514
tt0080196	8.4	5132
tt0080200	7.8	699
tt0080202	6.8	4924
tt0080209	7.0	781
tt0080219	7.4	808
tt0080221	5.5	4347
tt0080230	9.3	907
tt0080231	7.4	2542
tt0080233	7.0	1454
tt0080240	7.5	30952
tt0080242	6.5	2700
tt0080249	8.9	961
tt0080253	7.9	2974
tt0080266	6.3	763
tt0080274	8.1	17409
tt0080289	7.5	607
tt0080297	8.4	10329
tt0080298	8.5	706
tt0080299	6.6	2969
tt0080306	8.6	18310
tt0080336	7.4	966
tt0080986	8.3	545
tt0081831	6.9	2616
tt0081834	8.8	36979
tt0081837	7.5	763
tt0081838	6.9	1389
tt0081846	9.3	48972
tt0081848	7.4	4162
tt0081850	7.3	2618
tt0081852	7.8	702
tt0081854	7.3	1207
tt0081856	6.4	9058
tt0081857	3.6	2965
tt0081858	6.2	4578
tt0081859	7.1	10488
tt0081860	6.4	871
tt0081863	6.5	507
tt0081869	6.4	3955
tt0081871	7.3	7194
tt0081873	8.2	11433
tt0081874	8.0	12177
tt0081878	7.2	1968
tt0081883	7.2	1073
tt0081900	7.8	2577
tt0081907	6.6	502
tt0081912	9.0	62079
tt0081925	8.4	2328
tt0081929	7.4	554
tt0081930	7.0	6680
tt0081933	7.2	22799
tt0081937	6.7	562
tt0081938	6.8	2152
tt0081944	8.5	930
tt0081949	8.3	1132
tt0081954	7.5	1436
tt0081955	8.8	824
tt0081956	7.2	512
tt0081961	6.1	1307
tt0082461	6.6	1252
tt0082660	9.1	574
tt0082732	7.7	2212
tt0083100	8.5	6819
tt0083380	8.5	987
tt0083387	7.5	1986
tt0083390	8.5	8485
tt0083391	7.1	502
tt0083392	6.6	1049
tt0083395	6.9	5714
tt0083399	8.0	66337
tt0083402	7.8	1764
tt0083409	7.4	903
tt0083412	7.1	4846
tt0083413	7.3	21576
tt0083416	7.1	806
tt0083428	6.3	720
tt0083430	6.7	1778
tt0083433	3.9	723
tt0083437	6.9	39948
tt0083441	7.5	5214
tt0083446	7.6	1384
tt0083447	6.5	1588
tt0083452	8.9	1017
tt0083455	7.8	9039
tt0083461	6.0	651
tt0083466	8.3	23594
tt0083467	6.0	618
tt0083470	7.3	10640
tt0083473	7.7	559
tt0083474	6.6	1932
tt0083475	6.3	4823
tt0083479	6.1	5313
tt0083480	8.5	5153
tt0083481	7.1	4436
tt0083482	7.3	1636
tt0083483	8.0	5647
tt0083486	6.1	5567
tt0083488	8.0	2062
tt0083500	8.0	1917
tt0083505	8.2	17385
tt0083689	8.5	1800
tt0083780	7.3	2977
tt0084053	7.9	552
tt0084258	7.4	899
tt0084919	6.6	853
tt0084967	7.5	44362
tt0084969	5.7	896
tt0084970	6.4	2215
tt0084971	8.7	1924
tt0084972	6.6	4091
tt0084978	6.8	2275
tt0084980	6.7	1866
tt0084987	6.7	4470
tt0084988	8.0	42909
tt0084992	7.4	547
tt0084996	7.4	2026
tt0084997	8.1	1907
tt0085011	8.0	6664
tt0085017	7.9	8797
tt0085029	6.6	3402
tt0085031	6.7	2034
tt0085032	6.4	2066
tt0085033	6.8	24757
tt0085037	8.0	3949
tt0085040	7.1	1258
tt0085043	8.6	1019
tt0085044	7.7	648
tt0085050	7.3	7365
tt0085051	6.5	2355
tt0085052	6.7	1247
tt0085058	8.3	1084
tt0085060	8.2	839
tt0085065	7.5	628
tt0085075	8.4	5558
tt0085077	8.1	1850
tt0085079	7.1	1740
tt0085085	8.3	948
tt0085088	7.1	4112
tt0085096	6.8	1654
tt0085099	7.1	877
tt0085101	7.9	11125
tt0085106	7.8	18341
tt0085107	7.4	668
tt0085109	5.8	3533
tt0085111	7.6	543
tt0085112	8.1	5075
tt0085114	7.5	1232
tt0086333	8.2	3411
tt0086659	8.4	28334
tt0086660	6.5	632
tt0086661	8.7	26435
tt0086662	6.7	14040
tt0086663	7.6	748
tt0086665	8.5	4352
tt0086667	8.1	1290
tt0086668	8.6	663
tt0086671	6.1	2252
tt0086672	8.4	883
tt0086675	8.3	1134
tt0086681	6.1	6998
tt0086687	7.4	38248
tt0086689	6.8	759
tt0086690	7.7	769
tt0086691	7.0	871
tt0086692	7.5	558
tt0086704	7.2	756
tt0086708	7.4	1428
tt0086711	7.0	939
tt0086719	7.7	6179
tt0086720	7.8	572
tt0086723	8.0	3032
tt0086730	6.9	7282
tt0086734	6.9	6189
tt0086737	8.3	839
tt0086739	8.3	2564
tt0086742	6.9	2652
tt0086744	7.2	1204
tt0086746	7.0	667
tt0086755	7.3	572
tt0086756	4.5	1704
tt0086759	7.6	32714
tt0086760	6.8	1408
tt0086762	6.7	851
tt0086764	7.5	6003
tt0086765	7.2	31932
tt0086767	7.2	3240
tt0086770	7.7	19087
tt0086779	8.4	4218
tt0086787	6.5	6484
tt0086789	6.8	3430
tt0086791	8.4	5330
tt0086793	5.7	3036
tt0086798	7.7	3542
